joint0_x,joint0_y,joint0_z,joint1_x,joint1_y,joint1_z,joint2_x,joint2_y,joint2_z,joint3_x,joint3_y,joint3_z,joint4_x,joint4_y,joint4_z,joint5_x,joint5_y,joint5_z,joint6_x,joint6_y,joint6_z,joint7_x,joint7_y,joint7_z,joint8_x,joint8_y,joint8_z,joint9_x,joint9_y,joint9_z,joint10_x,joint10_y,joint10_z,joint11_x,joint11_y,joint11_z
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5,0.0,1.1,-0.7,0.0,1.1,0.3,0.0,1.1,0.5,0.0,1.1,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5162084376759539,0.0,1.116208437675954,-0.7,0.0,1.1,0.3,0.0,1.1,0.5162084376759539,0.0,1.116208437675954,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5622066161848627,0.0,1.1622066161848628,-0.7,0.0,1.1,0.3,0.0,1.1,0.5622066161848627,0.0,1.1622066161848628,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.6305389494310359,0.0,1.2305389494310361,-0.7,0.0,1.1,0.3,0.0,1.1,0.6305389494310359,0.0,1.2305389494310361,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.7101298337677425,0.0,1.3101298337677427,-0.7,0.0,1.1,0.3,0.0,1.1,0.7101298337677425,0.0,1.3101298337677427,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.7880788303115269,0.0,1.388078830311527,-0.7,0.0,1.1,0.3,0.0,1.1,0.7880788303115269,0.0,1.388078830311527,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.8517516245385581,0.0,1.4517516245385582,-0.7,0.0,1.1,0.3,0.0,1.1,0.8517516245385581,0.0,1.4517516245385582,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.8908278512800099,0.0,1.49082785128001,-0.7,0.0,1.1,0.3,0.0,1.1,0.8908278512800099,0.0,1.49082785128001,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.898973864678379,0.0,1.498973864678379,-0.7,0.0,1.1,0.3,0.0,1.1,0.898973864678379,0.0,1.498973864678379,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.8748693232289165,0.0,1.4748693232289165,-0.7,0.0,1.1,0.3,0.0,1.1,0.8748693232289165,0.0,1.4748693232289165,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.8224211965095325,0.0,1.4224211965095326,-0.7,0.0,1.1,0.3,0.0,1.1,0.8224211965095325,0.0,1.4224211965095326,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.7501305064517441,0.0,1.3501305064517442,-0.7,0.0,1.1,0.3,0.0,1.1,0.7501305064517441,0.0,1.3501305064517442,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.6697144444990847,0.0,1.2697144444990847,-0.7,0.0,1.1,0.3,0.0,1.1,0.6697144444990847,0.0,1.2697144444990847,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5942071979346077,0.0,1.1942071979346078,-0.7,0.0,1.1,0.3,0.0,1.1,0.5942071979346077,0.0,1.1942071979346078,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5358473117585447,0.0,1.1358473117585448,-0.7,0.0,1.1,0.3,0.0,1.1,0.5358473117585447,0.0,1.1358473117585448,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5040940117495011,0.0,1.1040940117495013,-0.7,0.0,1.1,0.3,0.0,1.1,0.5040940117495011,0.0,1.1040940117495013,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5040940117495011,0.0,1.1040940117495013,-0.7,0.0,1.1,0.3,0.0,1.1,0.5040940117495011,0.0,1.1040940117495013,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5358473117585446,0.0,1.1358473117585446,-0.7,0.0,1.1,0.3,0.0,1.1,0.5358473117585446,0.0,1.1358473117585446,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.5942071979346073,0.0,1.1942071979346074,-0.7,0.0,1.1,0.3,0.0,1.1,0.5942071979346073,0.0,1.1942071979346074,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.6697144444990846,0.0,1.2697144444990847,-0.7,0.0,1.1,0.3,0.0,1.1,0.6697144444990846,0.0,1.2697144444990847,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.7501305064517442,0.0,1.3501305064517442,-0.7,0.0,1.1,0.3,0.0,1.1,0.7501305064517442,0.0,1.3501305064517442,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.8224211965095323,0.0,1.4224211965095324,-0.7,0.0,1.1,0.3,0.0,1.1,0.8224211965095323,0.0,1.4224211965095324,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.8748693232289164,0.0,1.4748693232289165,-0.7,0.0,1.1,0.3,0.0,1.1,0.8748693232289164,0.0,1.4748693232289165,0.7,0.0,1.1,0.0,0.0,1.2
0.0,0.0,0.95,-0.2,0.0,0.9,-0.2,0.0,0.6,0.2,0.0,0.9,0.2,0.0,0.6,-0.3,0.0,1.1,-0.898973864678379,0.0,1.498973864678379,-0.7,0.0,1.1,0.3,0.0,1.1,0.898973864678379,0.0,1.498973864678379,0.7,0.0,1.1,0.0,0.0,1.2
